fortna_name,device_type,direction,fortna_bank,fortna_bit,module_data_ref,mapped,notes
"EZPE212_P1","photoeye","I","107","4","T_1794_AENT_1:8:I.Data.4",Y,"alt=T_1794_AENT_1:I.Data[8].4; type=1794-IB16; word=107; eip=107"
"EZPE213_F","photoeye","I","1006","4","T_1794_AENT_5:6:I.Data.4",Y,"alt=T_1794_AENT_5:I.Data[6].4; type=1794-IB16; word=1006; eip=1006"
"EZPE213_P","photoeye","I","1006","5","T_1794_AENT_5:6:I.Data.5",Y,"alt=T_1794_AENT_5:I.Data[6].5; type=1794-IB16; word=1006; eip=1006"
"EZPE214_P","photoeye","I","420","1","T_1794_AENT_4:1:I.Data.1",Y,"alt=T_1794_AENT_4:I.Data[1].1; type=1794-IB16; word=420; eip=420"
"EZPE217_F","photoeye","I","1006","6","T_1794_AENT_5:6:I.Data.6",Y,"alt=T_1794_AENT_5:I.Data[6].6; type=1794-IB16; word=1006; eip=1006"
"EZPE217_P","photoeye","I","1006","7","T_1794_AENT_5:6:I.Data.7",Y,"alt=T_1794_AENT_5:I.Data[6].7; type=1794-IB16; word=1006; eip=1006"
"EZPE229_P","photoeye","I","1006","10","T_1794_AENT_5:6:I.Data.8",Y,"alt=T_1794_AENT_5:I.Data[6].8; type=1794-IB16; word=1006; eip=1006"
"PE204_JF","photoeye","I","105","2","T_1794_AENT_1:6:I.Data.2",Y,"alt=T_1794_AENT_1:I.Data[6].2; type=1794-IA16; word=105; eip=105"
"PE208_JF","photoeye","I","105","3","T_1794_AENT_1:6:I.Data.3",Y,"alt=T_1794_AENT_1:I.Data[6].3; type=1794-IA16; word=105; eip=105"
"PE210A_JF","photoeye","I","1002","12","T_1794_AENT_1:6:I.Data.2",Y,"alt=T_1794_AENT_1:I.Data[6].2; type=1794-IA16; word=1002; eip=105; via=configio"
"PE215_J","photoeye","I","1002","13","T_1794_AENT_1:6:I.Data.3",Y,"alt=T_1794_AENT_1:I.Data[6].3; type=1794-IA16; word=1002; eip=105; via=configio"
"PE216_P","photoeye","I","422","1","T_1794_AENT_4:1:I.Data.1",Y,"alt=T_1794_AENT_4:I.Data[1].1; type=1794-IB16; word=422; eip=82; via=configio"
"PE219A_J","photoeye","I","1002","14","T_1794_AENT_1:6:I.Data.4",Y,"alt=T_1794_AENT_1:I.Data[6].4; type=1794-IA16; word=1002; eip=105; via=configio"
"PE219_P","photoeye","I","1006","0","T_1794_AENT_5:6:I.Data.0",Y,"alt=T_1794_AENT_5:I.Data[6].0; type=1794-IB16; word=1006; eip=1006"
"EZPE304_F","photoeye","I","107","3","T_1794_AENT_1:8:I.Data.3",Y,"alt=T_1794_AENT_1:I.Data[8].3; type=1794-IB16; word=107; eip=107"
"EZPE304_P","photoeye","I","107","5","T_1794_AENT_1:8:I.Data.5",Y,"alt=T_1794_AENT_1:I.Data[8].5; type=1794-IB16; word=107; eip=107"
"PE306_P","photoeye","I","105","4","T_1794_AENT_1:6:I.Data.4",Y,"alt=T_1794_AENT_1:I.Data[6].4; type=1794-IA16; word=105; eip=105"
"PE308_J","photoeye","I","105","5","T_1794_AENT_1:6:I.Data.5",Y,"alt=T_1794_AENT_1:I.Data[6].5; type=1794-IA16; word=105; eip=105"
"EZPE408_P","photoeye","I","420","2","T_1794_AENT_4:1:I.Data.2",Y,"alt=T_1794_AENT_4:I.Data[1].2; type=1794-IB16; word=420; eip=420"
"EZPE418_F","photoeye","I","420","3","T_1794_AENT_4:1:I.Data.3",Y,"alt=T_1794_AENT_4:I.Data[1].3; type=1794-IB16; word=420; eip=420"
"EZPE418_P","photoeye","I","420","4","T_1794_AENT_4:1:I.Data.4",Y,"alt=T_1794_AENT_4:I.Data[1].4; type=1794-IB16; word=420; eip=420"
"EZPE450_F","photoeye","I","420","5","T_1794_AENT_4:1:I.Data.5",Y,"alt=T_1794_AENT_4:I.Data[1].5; type=1794-IB16; word=420; eip=420"
"EZPE450_P","photoeye","I","420","6","T_1794_AENT_4:1:I.Data.6",Y,"alt=T_1794_AENT_4:I.Data[1].6; type=1794-IB16; word=420; eip=420"
"EZPE456_F","photoeye","I","420","7","T_1794_AENT_4:1:I.Data.7",Y,"alt=T_1794_AENT_4:I.Data[1].7; type=1794-IB16; word=420; eip=420"
"EZPE456_P","photoeye","I","420","10","T_1794_AENT_4:1:I.Data.8",Y,"alt=T_1794_AENT_4:I.Data[1].8; type=1794-IB16; word=420; eip=420"
"PE410_P","photoeye","I","422","2","T_1794_AENT_4:1:I.Data.2",Y,"alt=T_1794_AENT_4:I.Data[1].2; type=1794-IB16; word=422; eip=82; via=configio"
"PE414A_J","photoeye","I","407","15","T_1794_AENT_2:8:I.Data.13",Y,"alt=T_1794_AENT_2:I.Data[8].13; type=1794-IA16; word=407; eip=407"
"PE414B_J","photoeye","I","407","16","T_1794_AENT_2:8:I.Data.14",Y,"alt=T_1794_AENT_2:I.Data[8].14; type=1794-IA16; word=407; eip=407"
"PE414C_J","photoeye","I","407","17","T_1794_AENT_2:8:I.Data.15",Y,"alt=T_1794_AENT_2:I.Data[8].15; type=1794-IA16; word=407; eip=407"
"PE414D_J","photoeye","I","410","0","",N,"UNMAPPED word 410 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"PE414_J","photoeye","I","407","14","T_1794_AENT_2:8:I.Data.12",Y,"alt=T_1794_AENT_2:I.Data[8].12; type=1794-IA16; word=407; eip=407"
"PE422_P","photoeye","I","410","1","",N,"UNMAPPED word 410 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"PE424_I","photoeye","I","422","4","T_1794_AENT_4:1:I.Data.4",Y,"alt=T_1794_AENT_4:I.Data[1].4; type=1794-IB16; word=422; eip=82; via=configio"
"PE428_JF","photoeye","I","410","2","",N,"UNMAPPED word 410 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"PE434_JF","photoeye","I","410","3","",N,"UNMAPPED word 410 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"PE438_JF","photoeye","I","410","4","",N,"UNMAPPED word 410 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"PE446_J","photoeye","I","410","5","",N,"UNMAPPED word 410 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"PE462_F","photoeye","I","410","17","",N,"UNMAPPED word 410 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"EZPE828_F","photoeye","I","420","11","T_1794_AENT_4:1:I.Data.9",Y,"alt=T_1794_AENT_4:I.Data[1].9; type=1794-IB16; word=420; eip=420"
"EZPE828_P","photoeye","I","420","12","T_1794_AENT_4:1:I.Data.10",Y,"alt=T_1794_AENT_4:I.Data[1].10; type=1794-IB16; word=420; eip=420"
"EZPE832_F","photoeye","I","420","13","T_1794_AENT_4:1:I.Data.11",Y,"alt=T_1794_AENT_4:I.Data[1].11; type=1794-IB16; word=420; eip=420"
"EZPE832_P","photoeye","I","420","14","T_1794_AENT_4:1:I.Data.12",Y,"alt=T_1794_AENT_4:I.Data[1].12; type=1794-IB16; word=420; eip=420"
"PE820_JF","photoeye","I","410","6","",N,"UNMAPPED word 410 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"PE834_P","photoeye","I","422","3","T_1794_AENT_4:1:I.Data.3",Y,"alt=T_1794_AENT_4:I.Data[1].3; type=1794-IB16; word=422; eip=82; via=configio"
"CITY_COUNTER_PB","other","I","452","5","",N,"UNMAPPED word 452 \u2014 not in Configio/EIPCSV (other panel/PLC bank, or missing module)"
"1ESR1_AUX","estop","I","101","3","T_1794_AENT_1:2:I.Data.3",Y,"alt=T_1794_AENT_1:I.Data[2].3; type=1794-IA16; word=101; eip=101"
"1ESR2_AUX","estop","I","101","4","T_1794_AENT_1:2:I.Data.4",Y,"alt=T_1794_AENT_1:I.Data[2].4; type=1794-IA16; word=101; eip=101"
"1MCR1","estop","O","100","2","T_1794_AENT_1:1:O.Data.2",Y,"alt=T_1794_AENT_1:O.Data[1].2; type=1794-OA8I; word=100; via=configio"
"1MCR1_AUX","estop","I","101","2","T_1794_AENT_1:2:I.Data.2",Y,"alt=T_1794_AENT_1:I.Data[2].2; type=1794-IA16; word=101; eip=101"
"1PBSTART","pushbutton","I","101","0","T_1794_AENT_1:2:I.Data.0",Y,"alt=T_1794_AENT_1:I.Data[2].0; type=1794-IA16; word=101; eip=101"
"1PBSTOP","pushbutton","I","101","1","T_1794_AENT_1:2:I.Data.1",Y,"alt=T_1794_AENT_1:I.Data[2].1; type=1794-IA16; word=101; eip=101"
"4ESR1_AUX","estop","I","401","3","T_1794_AENT_2:2:I.Data.3",Y,"alt=T_1794_AENT_2:I.Data[2].3; type=1794-IA16; word=401; eip=401"
"4ESR2_AUX","estop","I","401","4","T_1794_AENT_2:2:I.Data.4",Y,"alt=T_1794_AENT_2:I.Data[2].4; type=1794-IA16; word=401; eip=401"
"4MCR1","estop","O","400","2","T_1794_AENT_2:1:O.Data.2",Y,"alt=T_1794_AENT_2:O.Data[1].2; type=1794-OA8I; word=400; eip=20; via=configio"
"4MCR1_AUX","estop","I","401","2","T_1794_AENT_2:2:I.Data.2",Y,"alt=T_1794_AENT_2:I.Data[2].2; type=1794-IA16; word=401; eip=401"
"4PBSTART","pushbutton","I","401","0","T_1794_AENT_2:2:I.Data.0",Y,"alt=T_1794_AENT_2:I.Data[2].0; type=1794-IA16; word=401; eip=401"
"4PBSTOP","pushbutton","I","401","1","T_1794_AENT_2:2:I.Data.1",Y,"alt=T_1794_AENT_2:I.Data[2].1; type=1794-IA16; word=401; eip=401"
"8PBSTART","pushbutton","I","1001","0","T_1794_AENT_1:4:I.Data.0",Y,"alt=T_1794_AENT_1:I.Data[4].0; type=1794-IA16; word=1001; eip=103; via=configio"
"8PBSTOP","pushbutton","I","1001","1","T_1794_AENT_1:4:I.Data.1",Y,"alt=T_1794_AENT_1:I.Data[4].1; type=1794-IA16; word=1001; eip=103; via=configio"
"PBSTART414","pushbutton","I","403","2","T_1794_AENT_2:6:I.Data.2",Y,"alt=T_1794_AENT_2:I.Data[6].2; type=1794-IA16; word=403; eip=36; via=configio"
"PBSTOP414","pushbutton","I","403","3","T_1794_AENT_2:6:I.Data.3",Y,"alt=T_1794_AENT_2:I.Data[6].3; type=1794-IA16; word=403; eip=36; via=configio"
"VFD216_FLT","vfd","I","424","4","T_1794_AENT_4:5:I.Data.4",Y,"alt=T_1794_AENT_4:I.Data[5].4; type=1794-IB16; word=424; eip=86; via=configio"
"VFD219_FLT","vfd","I","1006","16","T_1794_AENT_5:6:I.Data.14",Y,"alt=T_1794_AENT_5:I.Data[6].14; type=1794-IB16; word=1006; eip=1006"
"VFD410_FLT","vfd","I","424","7","T_1794_AENT_4:5:I.Data.7",Y,"alt=T_1794_AENT_4:I.Data[5].7; type=1794-IB16; word=424; eip=86; via=configio"
"VFD422_FLT","vfd","I","424","13","T_1794_AENT_4:5:I.Data.3",Y,"alt=T_1794_AENT_4:I.Data[5].3; type=1794-IB16; word=424; eip=86; via=configio"
"VFD834_FLT","vfd","I","424","16","T_1794_AENT_4:5:I.Data.6",Y,"alt=T_1794_AENT_4:I.Data[5].6; type=1794-IB16; word=424; eip=86; via=configio"
"CR305","motor","O","102","7","T_1794_AENT_1:3:O.Data.7",Y,"alt=T_1794_AENT_1:O.Data[3].7; type=1794-OA8I; word=102; eip=102"
"ES215","estop","O","1001","7","T_1794_AENT_1:3:O.Data.7",Y,"alt=T_1794_AENT_1:O.Data[3].7; type=1794-OA8I; word=1001; eip=102; via=configio"
"ES422","estop","O","401","10","T_1794_AENT_3:1:I.Data.8",Y,"alt=T_1794_AENT_3:I.Data[1].8; type=1794-IA16; word=401"
"ESLS101","beacon","O","101","10","T_1794_AENT_1:2:I.Data.8",Y,"alt=T_1794_AENT_1:I.Data[2].8; type=1794-IA16; word=101"
"ESLS103","beacon","O","101","11","T_1794_AENT_1:2:I.Data.9",Y,"alt=T_1794_AENT_1:I.Data[2].9; type=1794-IA16; word=101"
"ESLS201","beacon","O","101","12","T_1794_AENT_1:2:I.Data.10",Y,"alt=T_1794_AENT_1:I.Data[2].10; type=1794-IA16; word=101"
"ESLS203","beacon","O","101","13","T_1794_AENT_1:2:I.Data.11",Y,"alt=T_1794_AENT_1:I.Data[2].11; type=1794-IA16; word=101"
"ESLS301","beacon","O","101","14","T_1794_AENT_1:2:I.Data.12",Y,"alt=T_1794_AENT_1:I.Data[2].12; type=1794-IA16; word=101"
"ESLS301A","beacon","O","101","16","T_1794_AENT_1:2:I.Data.14",Y,"alt=T_1794_AENT_1:I.Data[2].14; type=1794-IA16; word=101"
"ESLS303","beacon","O","101","15","T_1794_AENT_1:2:I.Data.13",Y,"alt=T_1794_AENT_1:I.Data[2].13; type=1794-IA16; word=101"
"ESLS303A","beacon","O","101","17","T_1794_AENT_1:2:I.Data.15",Y,"alt=T_1794_AENT_1:I.Data[2].15; type=1794-IA16; word=101"
"ESLS414","beacon","O","401","11","T_1794_AENT_3:1:I.Data.9",Y,"alt=T_1794_AENT_3:I.Data[1].9; type=1794-IA16; word=401"
"ESLS418","beacon","O","401","12","T_1794_AENT_3:1:I.Data.10",Y,"alt=T_1794_AENT_3:I.Data[1].10; type=1794-IA16; word=401"
"ESLS464","beacon","O","401","13","T_1794_AENT_3:1:I.Data.11",Y,"alt=T_1794_AENT_3:I.Data[1].11; type=1794-IA16; word=401"
"ESLS466","beacon","O","401","14","T_1794_AENT_3:1:I.Data.12",Y,"alt=T_1794_AENT_3:I.Data[1].12; type=1794-IA16; word=401"
"EZPWS231A_AUX","power_supply","I","1001","16","T_1794_AENT_1:4:I.Data.6",Y,"alt=T_1794_AENT_1:I.Data[4].6; type=1794-IA16; word=1001; eip=103; via=configio"
"1ES","beacon","O","101","7","T_1794_AENT_1:2:I.Data.7",Y,"alt=T_1794_AENT_1:I.Data[2].7; type=1794-IA16; word=101"
"1WH","beacon","O","100","3","T_1794_AENT_1:1:O.Data.3",Y,"alt=T_1794_AENT_1:O.Data[1].3; type=1794-OA8I; word=100; via=configio"
"4ES","beacon","O","401","7","T_1794_AENT_3:1:I.Data.7",Y,"alt=T_1794_AENT_3:I.Data[1].7; type=1794-IA16; word=401"
"4WH","beacon","O","400","3","T_1794_AENT_2:1:O.Data.3",Y,"alt=T_1794_AENT_2:O.Data[1].3; type=1794-OA8I; word=400; eip=20; via=configio"
"8ES","beacon","O","1001","6","T_1794_AENT_1:3:O.Data.6",Y,"alt=T_1794_AENT_1:O.Data[3].6; type=1794-OA8I; word=1001; eip=102; via=configio"
"8ESR1_AUX","estop","I","1001","3","T_1794_AENT_1:4:I.Data.3",Y,"alt=T_1794_AENT_1:I.Data[4].3; type=1794-IA16; word=1001; eip=103; via=configio"
"8ESR2_AUX","estop","I","1001","4","T_1794_AENT_1:4:I.Data.4",Y,"alt=T_1794_AENT_1:I.Data[4].4; type=1794-IA16; word=1001; eip=103; via=configio"
"8MCR1","estop","O","1003","2","T_1794_AENT_5:8:O.Data.2",Y,"alt=T_1794_AENT_5:O.Data[8].2; type=1794-OB16P; word=1003; eip=84; via=configio"
"8MCR1_AUX","estop","I","1001","2","T_1794_AENT_1:4:I.Data.2",Y,"alt=T_1794_AENT_1:I.Data[4].2; type=1794-IA16; word=1001; eip=103; via=configio"
"8WH1","beacon","O","1003","3","T_1794_AENT_5:8:O.Data.3",Y,"alt=T_1794_AENT_5:O.Data[8].3; type=1794-OB16P; word=1003; eip=84; via=configio"
"M100","motor","O","102","0","T_1794_AENT_1:3:O.Data.0",Y,"alt=T_1794_AENT_1:O.Data[3].0; type=1794-OA8I; word=102; eip=102"
"M100A","motor","O","100","7","T_1794_AENT_1:1:O.Data.7",Y,"alt=T_1794_AENT_1:O.Data[1].7; type=1794-OA8I; word=100; via=configio"
"M100A_AUX","motor","I","105","6","T_1794_AENT_1:6:I.Data.6",Y,"alt=T_1794_AENT_1:I.Data[6].6; type=1794-IA16; word=105; eip=105"
"M100_AUX","motor","I","103","0","T_1794_AENT_1:4:I.Data.0",Y,"alt=T_1794_AENT_1:I.Data[4].0; type=1794-IA16; word=103; eip=103"
"M102","motor","O","102","1","T_1794_AENT_1:3:O.Data.1",Y,"alt=T_1794_AENT_1:O.Data[3].1; type=1794-OA8I; word=102; eip=102"
"M102_AUX","motor","I","103","1","T_1794_AENT_1:4:I.Data.1",Y,"alt=T_1794_AENT_1:I.Data[4].1; type=1794-IA16; word=103; eip=103"
"M106","motor","O","104","0","T_1794_AENT_1:5:O.Data.0",Y,"alt=T_1794_AENT_1:O.Data[5].0; type=1794-OA8I; word=104; eip=104"
