fortna_name,device_type,direction,fortna_bank,fortna_bit,module_data_ref,mapped,notes
"M300A_AUX","motor","I","105","13","T_1794_AENT_1:6:I.Data.11",Y,"alt=T_1794_AENT_1:I.Data[6].11; type=1794-IA16; word=105; eip=105"
"M300_AUX","motor","I","103","11","T_1794_AENT_1:4:I.Data.9",Y,"alt=T_1794_AENT_1:I.Data[4].9; type=1794-IA16; word=103; eip=103"
"M302","motor","O","102","5","T_1794_AENT_1:3:O.Data.5",Y,"alt=T_1794_AENT_1:O.Data[3].5; type=1794-OA8I; word=102; eip=102"
"M302_AUX","motor","I","103","12","T_1794_AENT_1:4:I.Data.10",Y,"alt=T_1794_AENT_1:I.Data[4].10; type=1794-IA16; word=103; eip=103"
"M304","motor","O","102","6","T_1794_AENT_1:3:O.Data.6",Y,"alt=T_1794_AENT_1:O.Data[3].6; type=1794-OA8I; word=102; eip=102"
"M304_AUX","motor","I","103","13","T_1794_AENT_1:4:I.Data.11",Y,"alt=T_1794_AENT_1:I.Data[4].11; type=1794-IA16; word=103; eip=103"
"M306","motor","O","104","5","T_1794_AENT_1:5:O.Data.5",Y,"alt=T_1794_AENT_1:O.Data[5].5; type=1794-OA8I; word=104; eip=104"
"M306_AUX","motor","I","103","14","T_1794_AENT_1:4:I.Data.12",Y,"alt=T_1794_AENT_1:I.Data[4].12; type=1794-IA16; word=103; eip=103"
"M408","motor","O","402","2","T_1794_AENT_2:3:O.Data.2",Y,"alt=T_1794_AENT_2:O.Data[3].2; type=1794-OA8I; word=402; eip=402"
"M408_AUX","motor","I","403","12","T_1794_AENT_2:8:I.Data.2",Y,"alt=T_1794_AENT_2:I.Data[8].2; type=1794-IA16; word=403; eip=37; via=configio"
"M418","motor","O","402","3","T_1794_AENT_2:3:O.Data.3",Y,"alt=T_1794_AENT_2:O.Data[3].3; type=1794-OA8I; word=402; eip=402"
"M418_AUX","motor","I","403","13","T_1794_AENT_2:8:I.Data.3",Y,"alt=T_1794_AENT_2:I.Data[8].3; type=1794-IA16; word=403; eip=37; via=configio"
"M420","motor","O","402","4","T_1794_AENT_2:3:O.Data.4",Y,"alt=T_1794_AENT_2:O.Data[3].4; type=1794-OA8I; word=402; eip=402"
"M420_AUX","motor","I","403","14","T_1794_AENT_2:8:I.Data.4",Y,"alt=T_1794_AENT_2:I.Data[8].4; type=1794-IA16; word=403; eip=37; via=configio"
"M426","motor","O","402","5","T_1794_AENT_2:3:O.Data.5",Y,"alt=T_1794_AENT_2:O.Data[3].5; type=1794-OA8I; word=402; eip=402"
"M426_AUX","motor","I","403","15","T_1794_AENT_2:8:I.Data.5",Y,"alt=T_1794_AENT_2:I.Data[8].5; type=1794-IA16; word=403; eip=37; via=configio"
"M430","motor","O","402","6","T_1794_AENT_2:3:O.Data.6",Y,"alt=T_1794_AENT_2:O.Data[3].6; type=1794-OA8I; word=402; eip=402"
"M430_AUX","motor","I","403","16","T_1794_AENT_2:8:I.Data.6",Y,"alt=T_1794_AENT_2:I.Data[8].6; type=1794-IA16; word=403; eip=37; via=configio"
"M432","motor","O","402","7","T_1794_AENT_2:3:O.Data.7",Y,"alt=T_1794_AENT_2:O.Data[3].7; type=1794-OA8I; word=402; eip=402"
"M432_AUX","motor","I","403","17","T_1794_AENT_2:8:I.Data.7",Y,"alt=T_1794_AENT_2:I.Data[8].7; type=1794-IA16; word=403; eip=37; via=configio"
