"Buffer Position"~"Index"~"Sorter"
211~-1~SHIP SCAN~
212~-1~SHIP SCAN~
213~-1~SHIP SCAN~
214~-1~SHIP SCAN~
215~-1~SHIP SCAN~
216~-1~SHIP SCAN~
217~-1~SHIP SCAN~
218~-1~SHIP SCAN~
219~-1~SHIP SCAN~
220~-1~SHIP SCAN~
221~-1~SHIP SCAN~
222~-1~SHIP SCAN~
223~-1~SHIP SCAN~
224~-1~SHIP SCAN~
225~-1~SHIP SCAN~
226~-1~SHIP SCAN~
227~-1~SHIP SCAN~
228~-1~SHIP SCAN~
229~-1~SHIP SCAN~
230~-1~SHIP SCAN~
231~-1~SHIP SCAN~
232~-1~SHIP SCAN~
233~-1~SHIP SCAN~
234~-1~SHIP SCAN~
235~-1~SHIP SCAN~
236~-1~SHIP SCAN~
237~-1~SHIP SCAN~
238~-1~SHIP SCAN~
239~-1~SHIP SCAN~
240~-1~SHIP SCAN~
241~-1~SHIP SCAN~
242~-1~SHIP SCAN~
243~-1~SHIP SCAN~
244~-1~SHIP SCAN~
245~-1~SHIP SCAN~
246~-1~SHIP SCAN~
247~-1~SHIP SCAN~
248~-1~SHIP SCAN~
249~-1~SHIP SCAN~
250~-1~SHIP SCAN~
251~-1~SHIP SCAN~
252~-1~SHIP SCAN~
253~-1~SHIP SCAN~
254~-1~SHIP SCAN~
255~-1~SHIP SCAN~
256~-1~SHIP SCAN~
257~-1~SHIP SCAN~
258~-1~SHIP SCAN~
259~-1~SHIP SCAN~
260~-1~SHIP SCAN~
261~-1~SHIP SCAN~
262~-1~SHIP SCAN~
263~-1~SHIP SCAN~
264~-1~SHIP SCAN~
265~-1~SHIP SCAN~
266~-1~SHIP SCAN~
267~-1~SHIP SCAN~
268~-1~SHIP SCAN~
269~-1~SHIP SCAN~
270~-1~SHIP SCAN~
271~-1~SHIP SCAN~
272~-1~SHIP SCAN~
273~-1~SHIP SCAN~
274~-1~SHIP SCAN~
275~-1~SHIP SCAN~
276~-1~SHIP SCAN~
277~-1~SHIP SCAN~
278~-1~SHIP SCAN~
279~-1~SHIP SCAN~
280~-1~SHIP SCAN~
281~-1~SHIP SCAN~
282~-1~SHIP SCAN~
283~-1~SHIP SCAN~
284~-1~SHIP SCAN~
285~-1~SHIP SCAN~
286~-1~SHIP SCAN~
287~-1~SHIP SCAN~
288~-1~SHIP SCAN~
289~-1~SHIP SCAN~
290~-1~SHIP SCAN~
291~-1~SHIP SCAN~
292~-1~SHIP SCAN~
293~-1~SHIP SCAN~
294~-1~SHIP SCAN~
295~-1~SHIP SCAN~
296~-1~SHIP SCAN~
297~-1~SHIP SCAN~
298~-1~SHIP SCAN~
299~-1~SHIP SCAN~
300~-1~SHIP SCAN~
301~-1~SHIP SCAN~
302~-1~SHIP SCAN~
303~-1~SHIP SCAN~
304~-1~SHIP SCAN~
305~-1~SHIP SCAN~
306~-1~SHIP SCAN~
307~-1~SHIP SCAN~
308~-1~SHIP SCAN~
309~-1~SHIP SCAN~
310~-1~SHIP SCAN~
311~-1~SHIP SCAN~
312~-1~SHIP SCAN~
313~-1~SHIP SCAN~
314~-1~SHIP SCAN~
315~-1~SHIP SCAN~
316~-1~SHIP SCAN~
317~-1~SHIP SCAN~
318~-1~SHIP SCAN~
319~-1~SHIP SCAN~
320~-1~SHIP SCAN~
321~-1~SHIP SCAN~
322~-1~SHIP SCAN~
323~-1~SHIP SCAN~
