"Shifter"~"Data"~"Divert Normal"~"Divert Missing"~"Divert Not Expected"~"End Missing"~"End Not Expected"~"Gap Abort"~"Index"~"Menu"~"OutpointIndx"~"SrtZoneIndx"
Invalid~ ~0~0~0~0~0~0~0~None~0~0~
SHIP SORTER~ ~1~0~0~0~0~0~44~SrtTrack1~2~0~
SHIP SORTER~ ~17~0~0~0~0~0~41~SrtTrack1~19~0~
SHIP SORTER~ ~7~0~0~0~0~0~47~SrtTrack1~9~0~
SHIP SORTER~ ~3~0~0~0~0~0~50~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~45~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~46~SrtTrack1~19~0~
SHIP SORTER~!No Read~16~0~0~0~0~0~48~SrtTrack1~18~0~
SHIP SORTER~ ~7~0~0~0~0~0~51~SrtTrack1~9~0~
SHIP SORTER~ ~1~0~0~0~0~0~55~SrtTrack1~2~0~
SHIP SORTER~ ~12~0~0~0~0~0~53~SrtTrack1~14~0~
SHIP SORTER~ ~3~0~0~0~0~0~56~SrtTrack1~5~0~
SHIP SORTER~ ~1~0~0~0~0~0~58~SrtTrack1~2~0~
SHIP SORTER~ ~17~0~0~0~0~0~54~SrtTrack1~19~0~
SHIP SORTER~ ~1~0~0~0~0~0~60~SrtTrack1~2~0~
SHIP SORTER~ ~1~0~0~0~0~0~61~SrtTrack1~2~0~
SHIP SORTER~ ~17~0~0~0~0~0~57~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~64~SrtTrack1~5~0~
SHIP SORTER~ ~1~0~0~0~0~0~66~SrtTrack1~2~0~
SHIP SORTER~ ~17~0~0~0~0~0~62~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~65~SrtTrack1~19~0~
SHIP SORTER~ ~17~0~0~0~0~0~67~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~69~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~70~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~72~SrtTrack1~5~0~
SHIP SORTER~ ~17~0~0~0~0~0~71~SrtTrack1~19~0~
SHIP SORTER~ ~3~0~0~0~0~0~73~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~75~SrtTrack1~5~0~
SHIP SORTER~ ~3~0~0~0~0~0~76~SrtTrack1~5~0~
