"Shifter"~"Data"~"Divert Normal"~"Divert Missing"~"Divert Not Expected"~"End Missing"~"End Not Expected"~"Gap Abort"~"Index"~"Menu"~"OutpointIndx"~"SrtZoneIndx"
Invalid~ ~0~0~0~0~0~0~0~None~0~0~
PACK SORTER~B3777~17~0~0~0~0~0~65~SrtTrack2~46~0~
PACK SORTER~B3731~19~0~0~0~0~0~64~SrtTrack2~49~0~
PACK SORTER~H0579~1~0~0~0~0~0~72~SrtTrack2~22~0~
PACK SORTER~B0001~14~0~0~0~0~0~68~SrtTrack2~41~0~
PACK SORTER~O1129~1~0~0~0~0~0~73~SrtTrack2~22~0~
PACK SORTER~B0246~19~0~0~0~0~0~66~SrtTrack2~49~0~
PACK SORTER~Y0357~1~0~0~0~0~0~74~SrtTrack2~22~0~
PACK SORTER~B2808~18~0~0~0~0~0~69~SrtTrack2~47~0~
PACK SORTER~B0430~17~0~0~0~0~0~70~SrtTrack2~46~0~
PACK SORTER~B1249~0~19~0~0~0~0~71~SrtTrack2~49~0~
PACK SORTER~B3798~4~0~0~0~0~0~78~SrtTrack2~26~0~
PACK SORTER~B3123~4~0~0~0~0~0~79~SrtTrack2~26~0~
PACK SORTER~Y0058~17~0~0~0~0~0~76~SrtTrack2~46~0~
PACK SORTER~O1154~22~0~0~0~0~0~75~SrtTrack2~53~0~
PACK SORTER~O1115~1~0~0~0~0~0~94~SrtTrack2~22~0~
PACK SORTER~B3726~12~0~0~0~0~0~88~SrtTrack2~38~0~
PACK SORTER~B1160~19~0~0~0~0~0~77~SrtTrack2~49~0~
PACK SORTER~B3129~14~0~0~0~0~0~90~SrtTrack2~41~0~
PACK SORTER~E1066~17~0~0~0~0~0~89~SrtTrack2~46~0~
PACK SORTER~E1036~17~0~0~0~0~0~92~SrtTrack2~46~0~
PACK SORTER~B3573~19~0~0~0~0~0~91~SrtTrack2~49~0~
PACK SORTER~E1113~19~0~0~0~0~0~93~SrtTrack2~49~0~
PACK SORTER~E1400~0~17~0~0~0~0~95~SrtTrack2~46~0~
PACK SORTER~B0655~5~0~0~0~0~0~82~SrtTrack2~28~0~
PACK SORTER~B3493~5~0~0~0~0~0~98~SrtTrack2~28~0~
PACK SORTER~B0732~1~0~0~0~0~0~2~SrtTrack2~22~0~
PACK SORTER~B3466~16~0~0~0~0~0~80~SrtTrack2~44~0~
PACK SORTER~B3168~0~19~0~0~0~0~96~SrtTrack2~49~0~
PACK SORTER~B2685~0~19~0~0~0~0~97~SrtTrack2~49~0~
PACK SORTER~B0616~18~0~0~0~0~0~1~SrtTrack2~47~0~
PACK SORTER~B3849~0~19~0~0~0~0~81~SrtTrack2~49~0~
PACK SORTER~B3608~15~0~0~0~0~0~99~SrtTrack2~43~0~
PACK SORTER~B0689~17~0~0~0~0~0~83~SrtTrack2~46~0~
PACK SORTER~B3808~19~0~0~0~0~0~84~SrtTrack2~49~0~
PACK SORTER~B3160~17~0~0~0~0~0~3~SrtTrack2~46~0~
PACK SORTER~B3246~17~0~0~0~0~0~5~SrtTrack2~46~0~
PACK SORTER~B1151~19~0~0~0~0~0~4~SrtTrack2~49~0~
PACK SORTER~H1081~19~0~0~0~0~0~6~SrtTrack2~49~0~
PACK SORTER~E1142~0~17~0~0~0~0~7~SrtTrack2~46~0~
PACK SORTER~B1297~12~0~0~0~0~0~8~SrtTrack2~38~0~
PACK SORTER~!No Read~0~7~0~0~0~0~11~SrtTrack2~31~0~
PACK SORTER~B0624~14~0~0~0~0~0~10~SrtTrack2~41~0~
PACK SORTER~G0183~19~0~0~0~0~0~9~SrtTrack2~49~0~
PACK SORTER~B3325~1~0~0~0~0~0~20~SrtTrack2~22~0~
PACK SORTER~B1157~17~0~0~0~0~0~13~SrtTrack2~46~0~
PACK SORTER~B1139~19~0~0~0~0~0~12~SrtTrack2~49~0~
PACK SORTER~B0236~17~0~0~0~0~0~16~SrtTrack2~46~0~
PACK SORTER~B1207~19~0~0~0~0~0~15~SrtTrack2~49~0~
PACK SORTER~B3820~21~0~0~0~0~0~14~SrtTrack2~52~0~
PACK SORTER~B3191~16~0~0~0~0~0~18~SrtTrack2~44~0~
PACK SORTER~B0708~18~0~0~0~0~0~17~SrtTrack2~47~0~
PACK SORTER~B3590~22~0~0~0~0~0~19~SrtTrack2~53~0~
PACK SORTER~B3506~0~19~0~0~0~0~21~SrtTrack2~49~0~
PACK SORTER~B3312~17~0~0~0~0~0~22~SrtTrack2~46~0~
PACK SORTER~E1080~17~0~0~0~0~0~24~SrtTrack2~46~0~
PACK SORTER~E1379~19~0~0~0~0~0~23~SrtTrack2~49~0~
PACK SORTER~E1040~17~0~0~0~0~0~25~SrtTrack2~46~0~
PACK SORTER~E1029~19~0~0~0~0~0~85~SrtTrack2~49~0~
PACK SORTER~B1249~0~19~0~0~0~0~26~SrtTrack2~49~0~
PACK SORTER~E1088~17~0~0~0~0~0~28~SrtTrack2~46~0~
PACK SORTER~E1037~17~0~0~0~0~0~29~SrtTrack2~46~0~
PACK SORTER~E1400~19~0~0~0~0~0~86~SrtTrack2~49~0~
PACK SORTER~?????~17~0~0~0~0~0~31~SrtTrack2~46~0~
PACK SORTER~B3168~19~0~0~0~0~0~30~SrtTrack2~49~0~
PACK SORTER~B3849~19~0~0~0~0~0~32~SrtTrack2~49~0~
PACK SORTER~B0372~12~0~0~0~0~0~33~SrtTrack2~38~0~
PACK SORTER~W0015~0~2~0~0~0~0~35~SrtTrack2~23~0~
PACK SORTER~W0052~0~2~0~0~0~0~37~SrtTrack2~23~0~
PACK SORTER~W0115~8~0~0~0~0~0~36~SrtTrack2~32~0~
PACK SORTER~65164~0~2~0~0~0~0~38~SrtTrack2~23~0~
PACK SORTER~?????~17~0~0~0~0~0~34~SrtTrack2~46~0~
PACK SORTER~!No Read~0~7~0~0~0~0~39~SrtTrack2~31~0~
PACK SORTER~?????~1~0~0~0~0~0~42~SrtTrack2~22~0~
PACK SORTER~G1910~8~0~0~0~0~0~40~SrtTrack2~32~0~
PACK SORTER~G3263~0~2~0~0~0~0~44~SrtTrack2~23~0~
PACK SORTER~72118~8~0~0~0~0~0~41~SrtTrack2~32~0~
PACK SORTER~!No Read~0~7~0~0~0~0~43~SrtTrack2~31~0~
PACK SORTER~65288~0~2~0~0~0~0~46~SrtTrack2~23~0~
PACK SORTER~G1927~8~0~0~0~0~0~47~SrtTrack2~32~0~
PACK SORTER~G1908~22~0~0~0~0~0~45~SrtTrack2~53~0~
PACK SORTER~B3506~19~0~0~0~0~0~48~SrtTrack2~49~0~
PACK SORTER~E1165~0~7~0~0~0~0~50~SrtTrack2~31~0~
