"Timer_Name"~"Timer_Address"~"General_Description"~"Invert"~"Start"~"Timing"~"Keep"~"Done"~"Retentative"~"Reset_Bit"~"Preset_Value"~"Accumulated"~"Retained"~"Start_Time"~"Owner"~"Changed"
tmM67_AUX~55~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM66_AUX~56~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM65_AUX~57~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM64_AUX~58~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM63_AUX~59~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM62_AUX~60~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM61_AUX~61~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM14_AUX~62~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM13_AUX~63~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM12_AUX~64~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM10_AUX~65~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM22_AUX~66~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmM21_AUX~67~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmM20_AUX~68~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
tmM19_AUX~69~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM11_AUX~70~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM9_AUX~71~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~MSCRENOPACK~N~
tmM8A_AUX~72~ ~N~Y~Y~N~Y~N~N~       1.000~       1.005~       0.000~0~MSCRENOPACK~N~
tmM111_AUX~73~ ~N~N~N~N~N~N~N~       1.000~       0.000~       0.000~0~N/A~N~
